PostalCode,ListingID,Longitude,Latitude,ListDate,SoldPrice,PendingDate,List_year,List_month
30305,54230035.0,-84.413278,33.82331,24-Jul-2015 00:00:00,592000.0,19-Aug-2015 00:00:00,2015.0,7.0
30305,54315304.0,-84.39562,33.8529086,28-Jul-2015 00:00:00,560000.0,12-Oct-2015 00:00:00,2015.0,7.0
30305,54335628.0,-84.365422,33.834814,27-Jul-2015 00:00:00,945000.0,28-Sep-2015 00:00:00,2015.0,7.0
30305,54336612.0,-84.365422,33.834814,27-Jul-2015 00:00:00,945000.0,01-Oct-2015 00:00:00,2015.0,7.0
30305,54425076.0,-84.40011,33.838422,30-Jul-2015 00:00:00,875000.0,12-Aug-2015 00:00:00,2015.0,7.0
30305,54435225.0,-84.382422,33.850732,31-Jul-2015 00:00:00,134000.0,05-Aug-2015 00:00:00,2015.0,7.0
30305,54439232.0,-84.40011,33.838422,30-Jul-2015 00:00:00,875000.0,12-Aug-2015 00:00:00,2015.0,7.0
30305,54439268.0,-84.39562,33.8529086,28-Jul-2015 00:00:00,560000.0,12-Oct-2015 00:00:00,2015.0,7.0
30305,54451638.0,-84.369229,33.831192,31-Jul-2015 00:00:00,465000.0,16-Jan-2016 00:00:00,2015.0,7.0
30305,54489132.0,-84.371606,33.82902,03-Aug-2015 00:00:00,555000.0,07-Nov-2015 00:00:00,2015.0,8.0
30305,54499909.0,-84.382121,33.820645,03-Aug-2015 00:00:00,355000.0,13-Sep-2015 00:00:00,2015.0,8.0
30305,54510172.0,-84.382121,33.820645,03-Aug-2015 00:00:00,355000.0,13-Sep-2015 00:00:00,2015.0,8.0
30305,54537486.0,-84.3815149,33.823086,04-Aug-2015 00:00:00,619500.0,31-Aug-2015 00:00:00,2015.0,8.0
30305,54538238.0,-84.3815149,33.823086,04-Aug-2015 00:00:00,619500.0,31-Aug-2015 00:00:00,2015.0,8.0
30305,54565341.0,-84.381216,33.823538,05-Aug-2015 00:00:00,485000.0,27-Aug-2015 00:00:00,2015.0,8.0
