68365,1995
68365,978
225627,222935
225627,192102
225627,55347
225627,53113
225627,11050
283784,51828
283784,824
283784,51876
283784,83770
283784,27576
38502,660
38502,73861
38502,635
38502,9311
38502,934
47151,31135
47151,67125
47151,140420
47151,66834
47151,66997
173539,10938
173539,9032
173539,17483
173539,12225
173539,112160
267044,36723
267044,227159
267044,257091
267044,268920
267044,278
172263,10531
172263,171424
172263,247366
172263,346978
172263,33774
39361,307081
39361,106646
39361,266856
39361,87492
39361,227306
208583,65496
208583,245891
208583,241554
208583,168259
208583,260346
342547,27103
342547,11421
342547,13193
342547,26371
342547,100898
107634,166641
107634,12225
107634,290865
107634,990
107634,11966
287277,169506
287277,303691
287277,235101
287277,256362
287277,287057
